Date,Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Size,Color,Material,Warranty,Manufacturer,Rating,Shipping_Weight,Delivery_Time,Discount,Eco_Friendly,Shipping_Cost,Shipping_Company,Shipping_Type,Insurance,Return_Policy,Model_Pred
2021-01-05,5,January,2021,32,Young Adults (25-34),M,United States,Oregon,accessories,bike racks,hitch rack - 4-bike,2,45,120,116,90,206,small,white,steel,Lifetime,manufacturer d,4,6.74,9,14,True,63.93,UPS,Express,Basic,7 Days,1
2013-07-22,22,July,2013,18,Youth (<25),F,United States,California,accessories,bike stands,hitch rack - 4-bike,4,45,120,290,180,470,extra large,red,aluminum,3 Years,manufacturer d,5,12.38,4,24,False,22.28,UPS,Same Day,,60 Days,1
2019-07-22,22,July,2019,18,Youth (<25),F,United States,California,accessories,bike stands,hitch rack - 4-bike,3,45,120,218,135,353,large,black,plastic,Lifetime,manufacturer b,2,4.65,3,12,False,37.84,DHL,Express,,No Return,1
2022-10-10,10,October,2022,18,Youth (<25),F,United States,California,accessories,bike stands,hitch rack - 4-bike,3,45,120,218,135,353,small,blue,carbon fiber,3 Years,manufacturer d,4,12.56,5,0,True,90.19,DHL,Express,,7 Days,1
2018-10-10,10,October,2018,18,Youth (<25),F,United States,California,accessories,bike stands,hitch rack - 4-bike,2,45,120,145,90,235,small,red,plastic,1 Year,manufacturer b,5,12.16,5,7,False,50.03,GLS,Next Day,,7 Days,1
2014-09-08,8,September,2014,38,Adults (35-64),F,Canada,British Columbia,accessories,bike stands,all-purpose bike stand,8,59,159,787,472,1259,extra large,white,aluminum,2 Years,manufacturer a,3,6.44,7,5,True,55.55,GLS,Standard,Basic,7 Days,1
2020-04-06,6,April,2020,38,Adults (35-64),F,United States,California,accessories,bike stands,all-purpose bike stand,6,59,159,581,354,935,extra large,green,steel,2 Years,manufacturer a,4,14.9,2,2,False,30.58,UPS,Next Day,Premium,No Return,1
2021-09-12,12,September,2021,31,Young Adults (25-34),F,Australia,Queensland,accessories,bike stands,all-purpose bike stand,10,59,159,746,590,1336,extra large,black,aluminum,Lifetime,manufacturer a,5,4.58,8,4,False,35.6,Posti,Express,,30 Days,1
2018-07-26,26,July,2018,31,Young Adults (25-34),F,Australia,Queensland,accessories,bike stands,all-purpose bike stand,1,59,159,75,59,134,medium,black,carbon fiber,Lifetime,manufacturer a,5,9.17,4,18,False,16.38,DHL,Express,,30 Days,1
2018-12-05,5,December,2018,24,Youth (<25),M,United States,California,accessories,bike stands,all-purpose bike stand,8,59,159,775,472,1247,medium,green,carbon fiber,1 Year,manufacturer a,3,10.44,6,8,False,61.39,FedEx,Standard,Basic,60 Days,1
2016-10-15,15,October,2016,57,Adults (35-64),M,United States,Washington,accessories,bike stands,all-purpose bike stand,9,59,159,585,531,1116,medium,red,carbon fiber,2 Years,manufacturer b,5,9.12,8,6,False,12.62,DHL,Express,,No Return,1
2015-10-15,15,October,2015,57,Adults (35-64),M,United States,Washington,accessories,bike stands,all-purpose bike stand,9,59,159,585,531,1116,extra large,red,aluminum,Lifetime,manufacturer a,4,4.02,5,3,True,54.83,DHL,Standard,Basic,30 Days,1
2014-10-25,25,October,2014,23,Youth (<25),F,Australia,New South Wales,accessories,bike stands,all-purpose bike stand,1,59,159,79,59,138,extra large,black,aluminum,1 Year,manufacturer a,1,1.46,8,5,False,43.99,GLS,Express,Premium,30 Days,1
2018-05-31,31,May,2018,24,Youth (<25),F,Australia,New South Wales,accessories,bike stands,all-purpose bike stand,1,59,159,79,59,138,medium,blue,carbon fiber,3 Years,manufacturer a,5,1.23,4,20,True,15.64,DHL,Next Day,Premium,60 Days,1
2023-02-07,7,February,2023,30,Young Adults (25-34),M,Australia,New South Wales,accessories,bike stands,all-purpose bike stand,5,59,159,397,295,692,medium,black,carbon fiber,1 Year,manufacturer b,4,8.85,5,12,False,53.22,UPS,Express,Premium,No Return,1
2016-10-04,4,October,2016,33,Young Adults (25-34),M,Germany,Hessen,accessories,bike stands,all-purpose bike stand,11,59,159,978,649,1627,extra large,white,aluminum,1 Year,manufacturer a,2,3.84,4,0,True,96.68,FedEx,Standard,Premium,30 Days,1
2015-03-22,22,March,2015,41,Adults (35-64),M,United States,Washington,accessories,bike stands,all-purpose bike stand,6,59,159,390,354,744,medium,white,carbon fiber,3 Years,manufacturer b,5,6.52,2,27,False,37.5,GLS,Standard,,7 Days,1
2018-04-27,27,April,2018,29,Young Adults (25-34),M,Australia,Victoria,accessories,bike stands,all-purpose bike stand,7,59,159,466,413,879,medium,red,carbon fiber,1 Year,manufacturer a,5,5.51,8,28,True,22.25,UPS,Express,,30 Days,1
2015-10-19,19,October,2015,30,Young Adults (25-34),F,France,Seine Saint Denis,accessories,bike stands,all-purpose bike stand,1,59,159,71,59,130,medium,blue,carbon fiber,2 Years,manufacturer b,2,8.75,6,24,True,84.7,GLS,Standard,,30 Days,1
2015-08-04,4,August,2015,30,Young Adults (25-34),M,United Kingdom,England,accessories,bike stands,all-purpose bike stand,4,59,159,375,236,611,medium,red,carbon fiber,1 Year,manufacturer a,4,8.64,7,23,True,54.29,FedEx,Standard,Premium,60 Days,1
2014-12-31,31,December,2014,24,Youth (<25),M,France,Hauts de Seine,accessories,bike stands,all-purpose bike stand,10,59,159,889,590,1479,extra large,green,aluminum,Lifetime,manufacturer a,4,7.51,2,7,False,24.49,DHL,Standard,,30 Days,1
2015-02-09,9,February,2015,25,Young Adults (25-34),M,Germany,Nordrhein-Westfalen,accessories,bike stands,all-purpose bike stand,5,59,159,397,295,692,medium,white,carbon fiber,3 Years,manufacturer b,2,3.27,2,22,False,67.01,FedEx,Standard,,30 Days,1
2013-02-27,27,February,2013,56,Adults (35-64),M,Canada,British Columbia,accessories,bike stands,all-purpose bike stand,1,59,159,98,59,157,medium,red,carbon fiber,Lifetime,manufacturer b,2,4.97,5,7,True,89.8,FedEx,Express,Basic,No Return,1
2016-09-22,22,September,2016,52,Adults (35-64),F,United States,Washington,accessories,bike stands,all-purpose bike stand,1,59,159,65,59,124,extra large,white,steel,2 Years,manufacturer a,3,12.32,8,0,False,6.04,GLS,Same Day,Basic,30 Days,1
2014-04-28,28,April,2014,35,Adults (35-64),M,United Kingdom,England,accessories,bike stands,all-purpose bike stand,9,59,159,843,531,1374,extra large,green,aluminum,2 Years,manufacturer a,4,12.4,6,16,True,58.81,UPS,Standard,,30 Days,1
2013-10-22,22,October,2013,41,Adults (35-64),F,United States,Oregon,accessories,bike stands,all-purpose bike stand,6,59,159,466,354,820,medium,white,carbon fiber,Lifetime,manufacturer b,5,5.94,5,23,True,74.59,Posti,Next Day,,30 Days,1
2020-09-23,23,September,2020,50,Adults (35-64),M,United Kingdom,England,accessories,bike stands,all-purpose bike stand,2,59,159,187,118,305,extra large,black,steel,Lifetime,manufacturer a,5,12.29,5,22,True,22.15,UPS,Next Day,Basic,7 Days,1
2019-10-18,18,October,2019,22,Youth (<25),M,Australia,New South Wales,accessories,bike stands,all-purpose bike stand,9,59,159,714,531,1245,extra large,black,aluminum,Lifetime,manufacturer a,4,6.52,4,22,False,8.22,UPS,Express,Basic,60 Days,1
2023-04-21,21,April,2023,42,Adults (35-64),M,United States,California,accessories,bike stands,all-purpose bike stand,9,59,159,871,531,1402,extra large,green,steel,1 Year,manufacturer a,4,4.84,6,2,False,12.31,DHL,Express,,No Return,1
2022-05-17,17,May,2022,47,Adults (35-64),M,Australia,Victoria,accessories,cleaners,bike wash - dissolver,16,3,8,53,48,101,extra large,red,plastic,Lifetime,manufacturer d,1,8.01,3,26,False,33.09,GLS,Standard,Basic,7 Days,1
2022-04-10,10,April,2022,42,Adults (35-64),F,Australia,Victoria,accessories,cleaners,bike wash - dissolver,10,3,8,33,30,63,small,blue,steel,2 Years,manufacturer d,5,7.63,7,18,True,42.53,FedEx,Express,Premium,No Return,1
2018-09-15,15,September,2018,40,Adults (35-64),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,1,3,8,5,3,8,large,white,plastic,2 Years,manufacturer b,3,3.2,6,6,False,81.65,GLS,Same Day,Premium,30 Days,1
2013-04-18,18,April,2013,35,Adults (35-64),M,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,26,3,8,103,78,181,large,blue,plastic,2 Years,manufacturer c,4,12.29,6,7,False,14.61,GLS,Express,Basic,60 Days,1
2022-04-18,18,April,2022,35,Adults (35-64),M,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,24,3,8,95,72,167,large,green,plastic,1 Year,manufacturer b,5,4.06,4,22,True,80.97,Posti,Same Day,Basic,30 Days,1
2015-05-17,17,May,2015,29,Young Adults (25-34),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,12,3,8,59,36,95,large,green,plastic,1 Year,manufacturer b,5,10.79,1,9,False,90.8,UPS,Next Day,Premium,60 Days,1
2020-02-03,3,February,2020,49,Adults (35-64),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,9,3,8,44,27,71,extra large,white,aluminum,1 Year,manufacturer b,3,6.69,8,23,False,52.6,Posti,Express,Premium,7 Days,1
2014-01-17,17,January,2014,46,Adults (35-64),F,United States,California,accessories,cleaners,bike wash - dissolver,26,3,8,126,78,204,large,blue,plastic,2 Years,manufacturer d,4,11.02,4,29,True,57.46,Posti,Next Day,,No Return,1
2017-05-26,26,May,2017,34,Young Adults (25-34),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,28,3,8,138,84,222,large,green,plastic,1 Year,manufacturer b,5,11.59,8,19,False,55.23,FedEx,Express,,30 Days,1
2019-08-07,7,August,2019,38,Adults (35-64),M,Germany,Saarland,accessories,cleaners,bike wash - dissolver,7,3,8,25,21,46,large,green,plastic,3 Years,manufacturer c,4,3.19,5,21,False,78.96,Posti,Express,Basic,60 Days,1
2020-01-26,26,January,2020,24,Youth (<25),F,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,6,3,8,24,18,42,small,white,steel,2 Years,manufacturer d,1,1.4,8,22,True,35.92,Posti,Standard,Basic,30 Days,1
2014-10-08,8,October,2014,23,Youth (<25),M,United States,California,accessories,cleaners,bike wash - dissolver,22,3,8,106,66,172,extra large,green,aluminum,3 Years,manufacturer b,2,1.04,1,3,True,50.17,DHL,Same Day,,7 Days,1
2023-09-08,8,September,2023,23,Youth (<25),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,17,3,8,84,51,135,large,red,plastic,Lifetime,manufacturer b,5,13.91,8,27,False,90.94,UPS,Next Day,Basic,30 Days,1
2018-04-24,24,April,2018,22,Youth (<25),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,27,3,8,133,81,214,large,blue,plastic,Lifetime,manufacturer b,5,4.27,2,7,True,8.07,FedEx,Express,Premium,30 Days,1
2019-04-25,25,April,2019,31,Young Adults (25-34),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,2,3,8,10,6,16,extra large,black,plastic,2 Years,manufacturer d,2,5.69,1,28,False,75.93,DHL,Same Day,Basic,60 Days,1
2022-03-31,31,March,2022,24,Youth (<25),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,15,3,8,74,45,119,extra large,white,aluminum,1 Year,manufacturer b,4,7.59,5,1,False,74.24,DHL,Next Day,Premium,60 Days,1
2020-03-31,31,March,2020,24,Youth (<25),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,14,3,8,69,42,111,large,red,plastic,3 Years,manufacturer b,2,0.54,3,6,True,45.58,UPS,Standard,Basic,30 Days,1
2017-04-01,1,April,2017,26,Young Adults (25-34),F,United States,California,accessories,cleaners,bike wash - dissolver,11,3,8,53,33,86,large,red,plastic,1 Year,manufacturer c,3,10.67,3,12,True,29.39,GLS,Standard,Basic,60 Days,1
2018-11-26,26,November,2018,35,Adults (35-64),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,4,3,8,20,12,32,large,black,plastic,2 Years,manufacturer b,2,9.97,1,14,True,47.67,GLS,Standard,Premium,No Return,1
2020-04-21,21,April,2020,35,Adults (35-64),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,22,3,8,108,66,174,large,black,plastic,3 Years,manufacturer c,3,13.16,6,18,True,13.3,FedEx,Next Day,,60 Days,1
2022-03-15,15,March,2022,31,Young Adults (25-34),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,22,3,8,108,66,174,extra large,green,aluminum,3 Years,manufacturer d,4,5.53,2,10,False,68.63,UPS,Next Day,Premium,60 Days,1
2017-09-12,12,September,2017,32,Young Adults (25-34),M,United States,Oregon,accessories,cleaners,bike wash - dissolver,32,3,8,124,96,220,extra large,white,aluminum,Lifetime,manufacturer d,1,1.5,5,3,False,70.85,DHL,Same Day,,No Return,1
2016-06-30,30,June,2016,38,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,17,3,8,82,51,133,extra large,white,plastic,2 Years,manufacturer d,4,2.89,2,1,True,86.99,DHL,Next Day,,7 Days,1
2022-01-10,10,January,2022,38,Adults (35-64),M,United States,Washington,accessories,cleaners,bike wash - dissolver,2,3,8,6,6,12,extra large,green,aluminum,2 Years,manufacturer b,5,11.78,1,19,True,15.48,DHL,Standard,,7 Days,1
2015-01-20,20,January,2015,19,Youth (<25),F,United States,Washington,accessories,cleaners,bike wash - dissolver,23,3,8,75,69,144,small,green,steel,1 Year,manufacturer d,1,6.83,9,19,False,42.48,Posti,Standard,Premium,30 Days,1
2016-08-07,7,August,2016,54,Adults (35-64),F,United States,California,accessories,cleaners,bike wash - dissolver,27,3,8,131,81,212,large,white,plastic,3 Years,manufacturer b,4,11.8,2,7,True,51.43,DHL,Same Day,,7 Days,1
2020-05-31,31,May,2020,53,Adults (35-64),M,United States,Oregon,accessories,cleaners,bike wash - dissolver,15,3,8,58,45,103,extra large,black,aluminum,2 Years,manufacturer b,4,12.6,8,12,True,86.7,GLS,Same Day,Premium,7 Days,1
2017-09-13,13,September,2017,53,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,9,3,8,44,27,71,extra large,red,aluminum,Lifetime,manufacturer b,3,8.78,3,7,False,91.44,GLS,Express,Premium,No Return,1
2016-09-13,13,September,2016,53,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,10,3,8,48,30,78,extra large,black,plastic,1 Year,manufacturer d,4,1.62,8,15,True,85.41,UPS,Next Day,Basic,7 Days,1
2022-01-30,30,January,2022,45,Adults (35-64),M,United States,Oregon,accessories,cleaners,bike wash - dissolver,24,3,8,93,72,165,extra large,green,plastic,3 Years,manufacturer d,4,4.76,9,14,True,16.67,GLS,Next Day,Basic,No Return,1
2022-09-23,23,September,2022,32,Young Adults (25-34),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,1,3,8,5,3,8,extra large,red,aluminum,2 Years,manufacturer b,2,3.79,5,1,False,63.66,GLS,Same Day,Basic,7 Days,1
2021-03-25,25,March,2021,32,Young Adults (25-34),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,11,3,8,54,33,87,large,blue,plastic,2 Years,manufacturer b,2,12.96,4,1,True,50.07,GLS,Standard,Basic,30 Days,1
2023-09-29,29,September,2023,33,Young Adults (25-34),F,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,8,3,8,39,24,63,large,black,plastic,1 Year,manufacturer d,5,3.73,1,20,False,62.91,GLS,Same Day,Premium,7 Days,1
2023-02-06,6,February,2023,33,Young Adults (25-34),M,United States,California,accessories,cleaners,bike wash - dissolver,26,3,8,126,78,204,extra large,black,aluminum,2 Years,manufacturer d,3,11.3,4,12,False,85.78,GLS,Express,Premium,7 Days,1
2017-06-01,1,June,2017,63,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,23,3,8,111,69,180,large,red,plastic,Lifetime,manufacturer c,5,10.57,1,27,False,12.16,Posti,Express,,7 Days,1
2017-02-24,24,February,2017,36,Adults (35-64),M,United States,Washington,accessories,cleaners,bike wash - dissolver,13,3,8,42,39,81,large,black,plastic,3 Years,manufacturer b,5,9.81,2,1,False,42.78,UPS,Same Day,,60 Days,1
2019-10-17,17,October,2019,37,Adults (35-64),F,United States,Washington,accessories,cleaners,bike wash - dissolver,7,3,8,23,21,44,small,blue,steel,3 Years,manufacturer d,3,13.39,4,27,True,71.52,FedEx,Same Day,,60 Days,1
2023-06-27,27,June,2023,37,Adults (35-64),F,United States,Washington,accessories,cleaners,bike wash - dissolver,23,3,8,75,69,144,small,black,steel,3 Years,manufacturer d,4,4.54,9,2,True,9.41,UPS,Standard,Basic,60 Days,1
2022-10-05,5,October,2022,27,Young Adults (25-34),F,United Kingdom,England,accessories,cleaners,bike wash - dissolver,6,3,8,28,18,46,extra large,white,aluminum,3 Years,manufacturer d,1,2.66,2,12,True,15.01,FedEx,Standard,Basic,7 Days,1
2016-01-22,22,January,2016,37,Adults (35-64),M,United Kingdom,England,accessories,cleaners,bike wash - dissolver,5,3,8,23,15,38,large,black,plastic,3 Years,manufacturer b,5,11.27,5,5,True,25.81,GLS,Standard,,30 Days,1
2021-04-02,2,April,2021,37,Adults (35-64),M,United Kingdom,England,accessories,cleaners,bike wash - dissolver,11,3,8,51,33,84,small,red,steel,2 Years,manufacturer d,4,0.55,4,21,False,95.04,UPS,Next Day,Premium,30 Days,1
2017-02-23,23,February,2017,19,Youth (<25),F,United Kingdom,England,accessories,cleaners,bike wash - dissolver,25,3,8,117,75,192,large,white,plastic,Lifetime,manufacturer b,2,2.34,1,7,False,77.05,UPS,Standard,,7 Days,1
2022-04-15,15,April,2022,25,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,accessories,cleaners,bike wash - dissolver,18,3,8,71,54,125,large,green,plastic,Lifetime,manufacturer d,4,13.53,7,7,True,97.03,DHL,Standard,,No Return,1
2020-04-15,15,April,2020,25,Young Adults (25-34),F,Germany,Nordrhein-Westfalen,accessories,cleaners,bike wash - dissolver,16,3,8,63,48,111,extra large,white,plastic,Lifetime,manufacturer d,2,10.57,3,10,True,76.4,FedEx,Next Day,Basic,7 Days,1
2016-05-17,17,May,2016,31,Young Adults (25-34),F,Germany,Hamburg,accessories,cleaners,bike wash - dissolver,7,3,8,31,21,52,extra large,white,aluminum,1 Year,manufacturer d,5,14.22,4,8,True,20.25,UPS,Standard,Basic,30 Days,1
2013-05-07,7,May,2013,32,Young Adults (25-34),F,Australia,Victoria,accessories,cleaners,bike wash - dissolver,28,3,8,93,84,177,large,black,plastic,Lifetime,manufacturer c,1,3.93,9,7,False,10.78,FedEx,Same Day,Premium,30 Days,1
2022-12-09,9,December,2022,48,Adults (35-64),F,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,28,3,8,111,84,195,extra large,blue,plastic,2 Years,manufacturer d,4,4.97,7,2,True,22.11,GLS,Next Day,Premium,7 Days,1
2022-12-09,9,December,2022,48,Adults (35-64),F,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,30,3,8,119,90,209,extra large,black,aluminum,Lifetime,manufacturer d,3,3.82,6,3,True,37.5,GLS,Standard,,60 Days,1
2014-12-04,4,December,2014,32,Young Adults (25-34),M,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,1,3,8,4,3,7,extra large,blue,plastic,2 Years,manufacturer d,4,4.43,6,2,False,75.36,Posti,Standard,,7 Days,1
2017-04-07,7,April,2017,33,Young Adults (25-34),M,Australia,Queensland,accessories,cleaners,bike wash - dissolver,21,3,8,78,63,141,extra large,green,aluminum,Lifetime,manufacturer d,2,1.43,4,20,True,23.95,Posti,Same Day,Basic,7 Days,1
2018-05-26,26,May,2018,33,Young Adults (25-34),F,Australia,Victoria,accessories,cleaners,bike wash - dissolver,26,3,8,86,78,164,large,black,plastic,2 Years,manufacturer b,3,7.67,9,5,True,98.3,DHL,Standard,Basic,No Return,1
2019-11-14,14,November,2019,17,Youth (<25),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,30,3,8,148,90,238,large,red,plastic,Lifetime,manufacturer c,4,12.49,6,15,True,78.6,Posti,Express,,30 Days,1
2016-07-11,11,July,2016,17,Youth (<25),M,Canada,British Columbia,accessories,cleaners,bike wash - dissolver,16,3,8,79,48,127,extra large,white,aluminum,2 Years,manufacturer d,5,8.81,3,6,True,34.19,UPS,Same Day,,30 Days,1
2014-05-10,10,May,2014,55,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,16,3,8,77,48,125,large,red,plastic,3 Years,manufacturer b,4,9.47,8,16,True,51.86,Posti,Express,,30 Days,1
2020-05-26,26,May,2020,55,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,6,3,8,29,18,47,large,red,plastic,2 Years,manufacturer d,2,14.48,6,2,False,54.45,GLS,Next Day,,7 Days,1
2014-05-28,28,May,2014,50,Adults (35-64),F,United States,Washington,accessories,cleaners,bike wash - dissolver,26,3,8,84,78,162,extra large,red,plastic,3 Years,manufacturer d,4,12.21,2,18,False,26.83,DHL,Express,,30 Days,1
2019-09-21,21,September,2019,41,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,7,3,8,34,21,55,extra large,black,aluminum,Lifetime,manufacturer d,4,10.55,6,15,False,32.72,Posti,Express,Premium,No Return,1
2015-02-23,23,February,2015,41,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,21,3,8,102,63,165,extra large,white,plastic,Lifetime,manufacturer d,4,8.23,8,23,False,9.59,UPS,Same Day,Premium,30 Days,1
2021-05-09,9,May,2021,41,Adults (35-64),M,United States,California,accessories,cleaners,bike wash - dissolver,24,3,8,116,72,188,small,red,steel,1 Year,manufacturer d,5,7.55,8,0,False,6.58,DHL,Express,Basic,60 Days,1
2022-01-31,31,January,2022,21,Youth (<25),M,Australia,Victoria,accessories,cleaners,bike wash - dissolver,16,3,8,53,48,101,extra large,white,aluminum,2 Years,manufacturer b,3,11.92,3,7,False,43.41,Posti,Next Day,Premium,7 Days,1
2017-11-25,25,November,2017,34,Young Adults (25-34),F,Australia,Queensland,accessories,cleaners,bike wash - dissolver,22,3,8,82,66,148,extra large,blue,aluminum,Lifetime,manufacturer d,5,7.3,7,24,True,94.81,Posti,Express,Basic,No Return,1
2021-12-15,15,December,2021,24,Youth (<25),M,Germany,Nordrhein-Westfalen,accessories,cleaners,bike wash - dissolver,10,3,8,40,30,70,extra large,black,plastic,Lifetime,manufacturer d,1,7.2,8,17,True,44.79,GLS,Standard,Premium,7 Days,1
2016-12-23,23,December,2016,52,Adults (35-64),F,United States,Oregon,accessories,cleaners,bike wash - dissolver,14,3,8,54,42,96,extra large,blue,aluminum,Lifetime,manufacturer d,1,13.57,4,24,True,28.36,GLS,Next Day,,7 Days,1
2022-02-02,2,February,2022,48,Adults (35-64),M,United States,Oregon,accessories,cleaners,bike wash - dissolver,24,3,8,93,72,165,large,white,plastic,3 Years,manufacturer d,2,1.28,6,9,True,39.46,UPS,Same Day,Basic,30 Days,1
2023-11-13,13,November,2023,27,Young Adults (25-34),M,Australia,New South Wales,accessories,cleaners,bike wash - dissolver,2,3,8,8,6,14,extra large,blue,aluminum,3 Years,manufacturer d,5,0.7,5,2,True,53.88,FedEx,Next Day,Basic,30 Days,1
2017-06-11,11,June,2017,26,Young Adults (25-34),F,France,Moselle,accessories,cleaners,bike wash - dissolver,14,3,8,57,42,99,large,blue,plastic,Lifetime,manufacturer b,4,3.92,2,2,False,54.5,FedEx,Next Day,Basic,60 Days,1
